"difficulty_average","favorites_count","free","name","rating_average","yarn_weight_description","knit_needle_size","crochet_hook","knit_needles","crochet_hook_size","craft","pattern_cat","pattern_parent_cat","pattern_parent_parent_cat","pull_date","n_langs","pull_day"
2.52247686205377,78962,FALSE,"Musselburgh",4.88495037472149,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-20",6,20
2.4091732045866,63324,FALSE,"Oslo Hat",4.72251897666573,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-20",10,20
1.92073381793008,70958,FALSE,"Sophie Scarf",4.84302801900705,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-20",17,20
2.17320261437908,33103,TRUE,"The Simple Thing",4.79716981132075,"DK (11 wpi)","7 ",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-20",4,20
3.48291182501709,116937,FALSE,"Ranunculus",4.81345517567355,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-20",4,20
0,241,FALSE,"Elderwild",0,"Worsted (9 wpi)","9 ",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-21",1,21
0,217,TRUE,"Ezra Socks",0,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-21",1,21
0,1332,FALSE,"Edda Sweater",0,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-21",12,21
3,563,FALSE,"Lite Bright Loop",5,"Any gauge - designed for any gauge","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-21",4,21
0,907,FALSE,"Jilli Jam",0,"Super Bulky (5-6 wpi)","",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-21",12,21
4.91666666666667,523,FALSE,"Henna",5,"Fingering (14 wpi)","3 ",FALSE,TRUE,"D","Knitting","Pullover","Sweater","Clothing","2025-11-21",2,21
0,2629,FALSE,"Polar Coat Adult",0,"Super Bulky (5-6 wpi)","7 ",FALSE,TRUE,"","Knitting","Coat / Jacket","Clothing","Categories","2025-11-21",3,21
0,83,FALSE,"Kindled Hearth",0,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Afghan block","Components","Categories","2025-11-21",1,21
3.17088607594937,30563,FALSE,"Lakes Pullover",4.89263803680982,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-21",16,21
0,358,FALSE,"Sole Mates",0,"Light Fingering","1½",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-21",1,21
0,675,FALSE,"Intangential (Advent Mystery Shawl KAL 2025)",0,"Fingering (14 wpi)","4 ",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-21",1,21
2.9719512195122,51903,FALSE,"Cloud Sweater",4.74560375146542,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-21",14,21
2.47647058823529,26210,FALSE,"Sailor Slippers",4.85326086956522,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-21",1,21
2.52436003303055,43801,FALSE,"Sophie Hood",4.74079874706343,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-21",13,21
5.06896551724138,32962,FALSE,"Rosie Sweater",4.69230769230769,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-21",10,21
2.11167512690355,4067,FALSE,"One Love Mystery Shawl",4.34170854271357,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-21",1,21
2.25617283950617,68133,TRUE,"Step by Step Sweater",4.8703038222803,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-21",2,21
2.40983112183353,63408,FALSE,"Oslo Hat",4.72267490868221,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-21",10,21
1.92092057449386,71050,FALSE,"Sophie Scarf",4.8427775958074,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-21",17,21
3.48368358106954,116979,FALSE,"Ranunculus",4.81348456206679,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-21",4,21
3,533,FALSE,"Let It Snow sock set",5,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-23",6,23
0,3558,FALSE,"Edda Sweater",0,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-23",12,23
3,1460,FALSE,"Lite Bright Loop",5,"Any gauge - designed for any gauge","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",4,23
0,616,FALSE,"Humpy the humpback whale",0,"DK (11 wpi)","1½",FALSE,TRUE,"","Knitting","Animal","Softies","Toys and Hobbies","2025-11-23",1,23
0,379,FALSE,"Poppy Time Scarf",0,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",1,23
3.17405063291139,30879,FALSE,"Lakes Pullover",4.89263803680982,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-23",16,23
3.25,5286,FALSE,"Angry Mittens",4.76923076923077,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Mittens","Hands","Accessories","2025-11-23",2,23
2.96844660194175,52179,FALSE,"Cloud Sweater",4.74708624708625,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-23",14,23
1.87796771130104,44399,FALSE,"Sophie Shawl",4.84525939177102,"DK (11 wpi)","8 ",FALSE,TRUE,"H","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-23",13,23
2.519967400163,44489,FALSE,"Sophie Hood",4.73704563031709,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",13,23
2.50259067357513,27826,FALSE,"Sailor Slippers",4.86407766990291,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-23",1,23
5.0655737704918,33401,FALSE,"Rosie Sweater",4.70588235294118,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-23",10,23
2.25511596180082,68505,TRUE,"Step by Step Sweater",4.87077922077922,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-23",2,23
3.35570469798658,21916,FALSE,"Hoodola: A Basic Hooded Cowl",4.81761006289308,"DK (11 wpi)","7 ",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-23",6,23
